0.00 1.24	KEVIN:  	Is that just [carbonated water]?
1153.22 1155.20	MARCI:  	    [4@@@@@@4][5@@ (H)5]
1154.88 1155.25	KEN:    	@@@5]
1155.20 1156.50	MARCI:  	@[6@6]@@@
1155.47 1155.72	KENDRA: 	 [6(COUGH)6]
1156.50 1156.97	>ENV:   	((WATER-ON))
1156.97 1157.67	KENDRA: 	(COUGH) [(COUGH)]
1157.39 1160.04	MARCI:  	        [Don't] put the whole cake under [2@the2] @fau[3cet3].
1158.77 1159.19	        	                                         [2@2]
1159.49 1160.04	KEVIN:  	                                                      [3@@@3]
1160.04 1160.95	        	[4<@No=4].
1160.04 1161.89	MARCI:  	[4@@@4][5@5][6@@6]
1160.04 1160.75	KENDRA: 	[4<@Do it dad,
1160.75 1161.15	        	do4] [5it @>5].
1161.15 1162.25	KEVIN:  	            [6Last time you did that6] dad,
1162.25 1163.59	KEVIN:  	it washed half way down [7the drai7][8=n @>8].
1163.17 1164.91	KENDRA: 	                        [7@ X7][8XXXXXX (H)8]
1163.46 1164.91	WENDY:  	                                    [8Do you like frozen yogurt cakes8]?
1164.91 1166.36	        	... You don't.
1166.36 1167.51	KENDRA: 	... [I don't like] __
1167.16 1168.31	KEVIN:  	    [Do you like] shrimp cake?
1168.31 1169.11	WENDY:  	... @@
1169.11 1170.23	MARCI:  	.. @@@@@[@]
1170.08 1170.43	KEVIN:  	        [Hm][2=2].
1170.08 1171.15	WENDY:  	        [Do you] [2like2] <HI rice cakes HI>?
1171.15 1171.96	        	            [2@ @2] [3@3]
1171.15 1171.60	MARCI:  	            [2@@2]
1171.60 1172.30	KEVIN:  	                    [3@@3][4@4]
1171.95 1173.41	MARCI:  	                          [4I can4] give you a [5rice cake,
1172.73 1173.83	WENDY:  	                                               [5(H) (Hx)5]
1173.41 1174.38	MARCI:  	with ched5]dar on it,
1174.38 1175.33	        	if you'd like [6that,
1174.85 1175.25	KENDRA: 	              [6I d_ __
1175.33 1175.88	MARCI:  	.. tonight6].
1175.25 1176.57	KENDRA: 	I don't want to6] hur=t you=,
1176.57 1177.48	        	I mean I like __
1177.48 1178.48	        	.. Ice [cream's okay],
1177.68 1177.98	WENDY:  	       [<HI Well,
1177.68 1178.08	MARCI:  	       [I didn't n_ __
1177.98 1178.80	WENDY:  	we're all] [2.. just HI>2] __
1178.08 1180.70	MARCI:  	You've] [2never2] told us what you like and don't like,
1180.70 1180.99	        	[3dear,
1180.80 1182.09	KEVIN:  	[3I guess that would be=3],
1180.99 1182.49	MARCI:  	you just go off to your3] roo[4=m4].
1182.16 1183.69	KENDRA: 	                             [4I think4] [5I walk around all5] the ti=me,
1182.16 1182.91	KEVIN:  	                             [4your4] [5fault,
1182.91 1183.26	        	then5].
1183.69 1183.99	KENDRA: 	saying,
1183.99 1184.26	WENDY:  	[(THROAT)]
1183.99 1184.84	KENDRA: 	[I hate] ice [2cream2].
1184.63 1184.84	WENDY:  	             [2@@2]
1184.84 1185.59	KENDRA: 	I hate ice cream.
1185.59 1186.59	        	It makes [me too] cold.
1185.83 1186.24	KEVIN:  	         [Never].
1186.59 1187.44	KENDRA: 	<HI Ask !Kelly HI>.
1187.44 1189.54	        	... Call up !Kelly right [now and] ask her.
1188.79 1189.14	KEVIN:  	                         [!Kelly]?
1189.54 1189.79	KENDRA: 	!Ken_ __
1189.79 1189.79	>ENV:   	((WATER-OFF))
1189.79 1191.04	KENDRA: 	[Does] [2!Kendra like ice cream2].
1189.79 1191.04	KEVIN:  	[Did] [2she ever tell you this2].
1190.06 1190.41	MARCI:  	       [2!Kelly?
1190.41 1191.64	        	.. Did she2] ever [3tell you3].
1191.31 1192.56	WENDY:  	                  [3!Kelly3] is up in__
1192.56 1193.34	KENDRA: 	.. Call !Damon.
1193.35 1193.89	        	Ask him.
1193.89 1194.61	WENDY:  	!K_ (Hx) __
1194.61 1195.26	        	!Kelly=,
1195.26 1196.61	        	%= was your roommate though.
1196.61 1197.56	        	For many a moo=n.
1197.56 1198.74	KENDRA: 	... Yeah=,
1198.74 1200.76	        	but that shouldn't mean that she should know [me any] [2<X better X>].
1200.11 1200.38	KEN:    	                                             [Yeah],
1200.38 1200.76	        	                                                      [2she should2] __
1200.46 1201.37	KEVIN:  	                                                      [2<VOX Cut me2] [3a slice there,
1200.76 1201.37	MARCI:  	                                                                      [3Well you can __
1201.37 1201.62	KEVIN:  	.. Jack VOX>3].
1201.37 1204.47	MARCI:  	.. you3] can .. [4cut off4] [5the cake5] from every slice then and [6eat it6].
1201.87 1202.32	KENDRA: 	                [4This big4]?
1202.32 1202.87	KEN:    	                            [5(THROAT)5]
1204.10 1204.47	WENDY:  	                                                                   [6@@6]
1204.47 1205.03	MARCI:  	[7How's that7].
1204.47 1205.03	KENDRA: 	[7This big7]?
1205.03 1205.58	        	(H) No,
1205.58 1206.43	        	what I like is,
1206.43 1207.73	        	like real icing.
1207.73 1208.36	KEN:    	.. Oh=,
1208.36 1209.13	        	[yeah=].
1208.36 1209.13	KENDRA: 	[(H) o=n],
1209.13 1209.90	        	[2on white cake,
1209.18 1210.21	KEVIN:  	[2Well that's real icing.
1209.90 1211.21	KENDRA: 	I like like wedding cake2]s.
1210.21 1210.71	KEVIN:  	right there.
1210.71 1211.01	        	Hey2].
1211.21 1211.66	        	It's right_ __
1211.66 1211.91	        	It's __
1211.91 1212.51	        	It's the real stuff.
1212.51 1213.21	WENDY:  	Wedding [cakes.
1212.91 1213.61	KEN:    	        [(SIGH)]
1213.21 1213.81	WENDY:  	The name] we_ __
1213.81 1214.99	        	The word wedding comes up,
1214.99 1215.33	KENDRA: 	W[ell,
1215.06 1215.86	WENDY:  	 [one more time].
1215.33 1216.26	KENDRA: 	that kind of] ca=ke.
1216.26 1216.96	        	.. White ca=ke,
1216.96 1218.46	        	[with .. that kind of icing]?
1217.01 1218.46	MARCI:  	[That's such a pretty cake].
1218.46 1219.49	KEN:    	(H) It is nice.
1219.52 1219.78	KENDRA: 	[Yeah,
1219.49 1220.14	MARCI:  	[That's yours,
1219.78 1220.33	KENDRA: 	this is a v_] __
1220.14 1220.59	MARCI:  	!Ke]n.
1220.59 1221.20	KEVIN:  	.. [2Dad2],
1220.96 1221.20	KEN:    	   [2What2]?
1221.20 1221.76	KEVIN:  	That's yours,
1221.76 1222.06	        	big guy.
1222.06 1223.26	KENDRA: 	This is [a real nice ca=ke].
1222.33 1223.26	MARCI:  	        [That was your=s].
1223.26 1224.55	WENDY:  	!Kevin and I are gonna [2share it2].
1223.92 1224.90	KENDRA: 	                       [2Don't get me2] wro=ng.
1224.90 1227.23	MARCI:  	... Well it was the smallest I could think of.
1227.23 1227.53	KENDRA: 	Yeah=,
1227.53 1228.23	        	this is good.
1228.23 1229.43	        	... as far as size.
1229.43 1230.08	MARCI:  	.. Well,
1230.08 1231.63	        	cut off the cake and eat it.
1231.63 1232.03	KENDRA: 	.. Mo=m,
1232.03 1232.33	        	no=.
1232.33 1232.78	        	Do=n't,
1232.78 1232.98	        	.. don't,
1232.98 1233.96	        	now don't take this to heart,
1233.96 1234.44	        	[<X here X>].
1233.96 1235.49	MARCI:  	[!Kevin and !Wen]dy are gonna share one,
1235.49 1236.62	        	so if you don't want one,
1236.62 1237.37	        	don't cut it.
1237.37 1238.82	KENDRA: 	... <VOX Oh %I do=.
1238.82 1240.02	KEN:    	.. @@ <@ She doe[=s].
1239.79 1240.22	KENDRA: 	                [Da]=ng,
1240.22 1241.07	        	ow= VOX>.
1241.07 1242.02	KEN:    	@@ How= @>.
1242.02 1243.42	        	@ (H) @ (H)
1243.42 1244.12	        	Which [one do you want.
1243.67 1244.57	WENDY:  	      [Tempers flare].
1244.12 1244.72	KEN:    	Do you want the end] one,
1244.72 1245.37	        	[2or do you want the_2] __
1244.72 1245.49	KENDRA: 	[2You take the end2] one,
1245.49 1246.54	        	it's got [3n=uts on it3].
1245.86 1246.64	KEVIN:  	         [3(H)=3]
1246.64 1247.14	        	... <FOOD Mm FOOD>.
1247.14 1248.59	WENDY:  	... <FOOD Oh that's good fr[osting.
1248.39 1248.69	KENDRA: 	                           [You don't __
1248.69 1249.49	        	.. % You can't have any,
1248.64 1249.94	WENDY:  	It's like m=arshmallow frosting].
1249.49 1249.94	KENDRA: 	right mom]?
1249.94 1251.09	MARCI:  	... No,
1251.09 1251.84	        	I can't have any,
1251.84 1252.49	        	.. <X mom X>.
1252.49 1252.94	WENDY:  	Want a bite FOOD>?
1252.94 1253.79	KEN:    	<X Came out to X> about perfect.
1253.79 1254.86	WENDY:  	... [Want a bite]?
1254.45 1254.86	KENDRA: 	    [X]?
1254.45 1254.86	KEVIN:  	    [It's] __
1254.86 1255.56	        	... It's [2not worth it2].
1255.11 1255.76	MARCI:  	         [2No thank you2].
1255.76 1256.86	        	... <@ I don't want it @>.
1256.86 1258.46	        	(H) [If I'm gonna] take [2a bite,
1257.26 1257.81	WENDY:  	    [<FOOD Oh it's good FOOD>].
1258.06 1258.56	KEVIN:  	                        [2Oh it's good,
1258.06 1258.76	KEN:    	                        [2XX2]
1258.56 1258.76	KEVIN:  	but2],
1258.56 1260.51	MARCI:  	.. I'm2] going to take a bite [3of my own d=_3] __
1259.53 1260.51	KEVIN:  	                              [3it's not exceptional3],
1260.51 1261.20	        	I don't think.
1261.20 1262.80	MARCI:  	.. dark chocolate m=ousse,
1262.80 1264.45	        	with [ganache fros]ting.
1263.14 1264.12	KENDRA: 	     [I would say=].
1264.45 1265.25	        	(H) This is,
1265.25 1266.80	        	This is you=r favorite kind of cake,
1266.80 1267.05	        	mom.
1267.05 1268.25	KEN:    	.. (H)
1268.25 1268.61	WENDY:  	.. Actually,
1268.61 1271.00	        	we were the ones who said we didn't want ... a regular cake,
1271.00 1271.27	        	.. so=,
1271.27 1272.15	        	you can blame it on [us].
1271.86 1272.37	KENDRA: 	                    [Oh]=,
1272.37 1273.43	        	!Kevin and !Wendy=,
1273.43 1274.07	        	I shou=ld.
1274.07 1275.77	MARCI:  	... (H) Well listen_.
1275.77 1276.31	        	% Listen.
1276.31 1278.63	        	I figure I was doing well to have hit the steaks,
1278.63 1280.82	        	which I also [didn't know w]as your favorite thing.
1279.32 1279.77	KENDRA: 	             [Yeah].
1280.82 1281.92	        	... Steaks are.
1281.92 1282.82	        	... Steaks are very good.
1282.82 1283.67	        	.. Steaks are my favorite.
1283.67 1285.15	MARCI:  	... Good.
1285.15 1286.25	KENDRA: 	.. And I don't get em enough.
1286.25 1287.05	MARCI:  	(H) So !Ken,
1287.05 1288.10	        	you can finish that off,
1288.10 1288.68	        	and if you don't,
1288.68 1289.29	        	!Kyle will.
1289.29 1290.26	KEN:    	... Yeah.
1290.26 1290.73	KEVIN:  	@@
1290.53 1291.08	WENDY:  	@Yeah=.
1291.08 1291.94	KEVIN:  	[Three years later],
1291.08 1291.26	KENDRA: 	[Yeah,
1291.26 1291.86	        	really].
1291.94 1293.06	KEVIN:  	it'll be dug out of the freezer,
1293.06 1294.06	        	.. [(H)]
1293.16 1294.06	MARCI:  	   [@@ (H) (Hx)]
1293.16 1294.36	KENDRA: 	   [@@@@]@
1294.36 1294.76	        	<Q<FOOD Hm,
1294.76 1295.26	        	what's this.
1295.26 1295.97	        	.. [Mm= FOOD>Q>].
1295.34 1295.97	MARCI:  	   [M=oldy=],
1295.97 1297.08	        	and scarfing (Hx).
1297.08 1298.68	WENDY:  	... And [what]?
1298.48 1298.68	KEVIN:  	        [<Q Hey],
1298.68 1299.53	        	who bought the green cake Q>.
1299.53 1300.58	KENDRA: 	<FOOD Actually this [is good],
1300.05 1300.58	WENDY:  	                    [@@]
1300.58 1301.49	MARCI:  	[2@@@@2]
1300.58 1301.97	KENDRA: 	[2cause my throat2] [3.. hurts.
1301.49 1302.89	WENDY:  	                    [3<FOOD It's a Saint Pa3]trick's cake.
1301.97 1302.24	KENDRA: 	So3],
1302.89 1303.49	MARCI:  	... @
1303.49 1303.69	WENDY:  	.. [Oh,
1303.54 1305.04	KENDRA: 	   [this feels really] good on my throat FOOD>.
1303.69 1304.24	WENDY:  	well see= FOOD>].
1305.04 1306.14	        	... Oh=.
1306.14 1306.56	        	[See X]?
1306.19 1307.50	MARCI:  	[That's n]ice of you to [2say,
1307.14 1308.22	KENDRA: 	                        [2And I did already have=2] __
1307.50 1308.99	MARCI:  	but I'm sorry2] [3I3] missed it.
1308.22 1308.44	WENDY:  	                [3@3]
1308.99 1309.44	MARCI:  	@[4@4]
1309.16 1311.00	KENDRA: 	 [4I did4] already have a piece of .. wedding cake,
1311.00 1311.95	        	about this big.
1311.95 1312.60	WENDY:  	.. Wedding cake?
1312.60 1312.90	KENDRA: 	We=ll,
1312.90 1313.18	        	no=.
1313.18 1313.60	        	It was,
1313.60 1314.15	        	.. you know.
1314.15 1315.40	        	... (H) It was cel[ebration cake,
1314.82 1316.77	WENDY:  	                  [<X Look at X> this word w=]edding keeps coming up.
1315.40 1315.57	KENDRA: 	but],
1316.77 1318.22	        	... <FOOD Well when you think of a wedding cake,
1318.22 1318.92	        	what do you think of.
1318.92 1320.52	KEVIN:  	... [Marriage].
1319.99 1320.52	KENDRA: 	    [White cake],
1320.52 1321.07	        	.. white icing.
1321.07 1322.27	KEVIN:  	(H) [<VOX M]=arr[2iage VOX2].
1321.22 1321.52	KENDRA: 	    [Right FOOD>]?
1321.82 1322.87	MARCI:  	                [2Fluffy2] junk.
1322.87 1324.02	        	... @@ <VOX @Marria[3ge VOX> @3],
1323.67 1324.37	KEVIN:  	                   [3(THROAT)3]=
1324.37 1326.02	WENDY:  	[<VOX True= lo=ve VOX>].
1324.37 1326.02	MARCI:  	[<VOX True= lo=ve VOX>].
1326.02 1327.03	KENDRA: 	[2Let me tell you2].
1326.02 1328.04	MARCI:  	[2@@@@2]@@@@
1328.04 1329.69	        	(H) @@@ .. @ (H)
1329.69 1331.79	KENDRA: 	... Th[at i]=s what you think of.
1330.98 1331.09	KEVIN:  	      [What]__
1331.79 1332.54	        	.. What did it say?
1332.54 1332.99	        	.. on it?
1332.99 1334.54	MARCI:  	... <VOX True love VOX>.
1334.54 1335.11	KEVIN:  	[The cake].
1334.64 1334.95	MARCI:  	[Oh].
1335.11 1335.57	KEVIN:  	[2(H)2]
1335.11 1336.07	WENDY:  	[2Happy birthday2] [3!Kendie3].
1335.57 1336.80	MARCI:  	                   [3Happy birth3]day !Kendie.
1336.80 1337.40	KEVIN:  	... Oh.
1337.40 1338.05	WENDY:  	... [Why].
1337.82 1338.27	MARCI:  	    [Why's] [2that2].
1338.05 1338.27	KEVIN:  	            [2I2] __
1338.27 1338.87	        	I didn't read it.
1338.87 1339.67	MARCI:  	... Oh.
1339.67 1340.22	KENDRA: 	... XX
1340.22 1341.77	KEVIN:  	<VOX<<SOB I can't rea=d +++ SOB>>VOX>.
1341.77 1343.98	MARCI:  	@@@@@@@ [@Jeesh.
1343.30 1344.40	KEVIN:  	        [@= @ @@]
1343.98 1344.93	MARCI:  	@@ (H)]
1344.93 1346.23	        	@Gad @zooks.
1346.23 1346.98	KEVIN:  	[(H)]
1346.23 1348.70	MARCI:  	[(H)] @We @are [2really off the deep2] end,
1347.36 1348.31	KEVIN:  	               [2(Hx) (H)2]
1348.70 1348.96	        	[3<FOOD What FOOD>3],
1348.70 1349.21	MARCI:  	[3guy3]s.
1349.21 1350.61	WENDY:  	... You're so strange,
1350.61 1350.86	        	honey,
1350.86 1351.91	        	it m_ really makes me wonder.
1351.91 1354.50	KEN:    	.. @[@@][2@@@@2]
1352.40 1353.05	MARCI:  	    [@]
1352.40 1353.21	KENDRA: 	    [<@ Oh really],
1353.21 1353.57	        	        [2really.
1353.57 1355.57	        	Are you su=re you wanna2] go over there for four years?
1355.57 1356.87	        	He'll get you off in Bulgaria.
1356.87 1359.62	        	.. [You're not gonna have] [2any2]= ... salvation.
1357.17 1357.87	WENDY:  	   [@@]
1357.87 1358.37	KEVIN:  	                           [2(THROAT)2]
1359.62 1360.75	KENDRA: 	Any= relief @>.
1360.75 1363.20	        	... <FOOD You're in trouble FOOD>.
1363.20 1364.82	WENDY:  	... [<FOOD With a kook].
1364.26 1365.31	KEVIN:  	    [% .. !Kelly] will be there.
1365.31 1365.91	WENDY:  	.. Mhm FOOD>.
1365.91 1367.47	MARCI:  	... That's right.
1367.47 1368.36	WENDY:  	We'll just leave him and go.
1368.36 1371.40	KENDRA: 	... You might have to.
1371.40 1373.45	MARCI:  	... [You and !Kelly will go to z_] __
1371.87 1372.22	KENDRA: 	    [What k_ __
1372.22 1373.55	        	.. Is this ice=] __
1373.55 1374.09	KEVIN:  	[2(H)2]
1373.55 1374.09	MARCI:  	[2Varna2].
1374.09 1374.59	KEVIN:  	[3(Hx)3]
1374.09 1375.23	KENDRA: 	[3What's the3] .. ice cream.
1375.23 1375.84	KEVIN:  	.. [4(H)4]
1375.59 1376.21	KENDRA: 	   [4Is this4] ice milk?
1376.21 1376.96	MARCI:  	Frozen yogurt.
1376.96 1377.51	KEVIN:  	.. [(TSK) Yeah,
1377.38 1378.08	KENDRA: 	   [Oh is it]?
1377.51 1378.08	KEVIN:  	it's ice milk].
1378.08 1378.54	MARCI:  	[2Mhm2].
1378.08 1378.54	WENDY:  	[2Mhm2].
1378.54 1378.94	KEVIN:  	.. Mhm.
1378.94 1379.49	MARCI:  	Low cal=,
1379.49 1380.19	        	.. frozen yo[gurt].
1380.09 1380.39	KEVIN:  	            [S]ure.
1380.39 1383.09	        	... They scraped it off the inside of somebody's freezer.
1383.09 1383.89	KENDRA: 	... (Hx)
1383.89 1384.29	MARCI:  	@
1384.29 1385.04	KENDRA: 	(H) <@ !Kevin,
1385.04 1386.14	        	[(H) this piece],
1385.04 1386.14	KEVIN:  	[@@@]
1386.14 1386.49	MARCI:  	[2@2]
1386.14 1386.81	KEVIN:  	[2@2][3@@3]
1386.49 1387.47	KENDRA: 	     [3is gonna be3] [4flipped4],
1386.81 1387.47	MARCI:  	                     [4!Kevin4],
1387.47 1388.47	KENDRA: 	.. at you real quick @>.
1388.47 1389.17	        	% (H)
1389.17 1391.87	MARCI:  	shall we p_ wrap him around one of the tires of his ca[=r,
1391.57 1391.97	WENDY:  	                                                      [@@
1391.87 1392.22	MARCI:  	or],
1391.87 1394.50	WENDY:  	<ACC thump] thump thump [2thump thump thump thump thump thump thump2] thump thump [3thump thump thump thump thump ACC>3].
1392.58 1393.53	MARCI:  	                        [2@ @@@2]
1393.75 1394.13	KENDRA: 	                                                                                  [3@@3]
1394.50 1395.15	KEVIN:  	... [4@4]
1394.92 1395.57	MARCI:  	    [4@4]@[5@5]
1395.34 1396.59	KEVIN:  	          [5We got5] new tires on the front.
1396.59 1397.31	MARCI:  	[6@=6]
1396.59 1397.95	KENDRA: 	[6@@6] [7<@ Goo=d7].
1397.31 1397.57	WENDY:  	       [7Yeah,
1397.57 1397.95	        	we did7].
1397.95 1398.51	KEN:    	[8@@@8]
1397.95 1398.71	KENDRA: 	[8All the better @>8].
1398.15 1398.71	WENDY:  	[8We just8] __
1397.95 1399.63	MARCI:  	[8Wrap him around a8] back tire <@ then.
1399.63 1401.33	        	They're [9probably square9] by now @>.
1399.93 1400.78	KEVIN:  	        [9@@9]
1401.33 1401.73	MARCI:  	[@@]
1401.33 1401.73	WENDY:  	[We took] __
1401.73 1402.73	MARCI:  	(H) @
1402.73 1403.24	WENDY:  	took the car in,
1403.24 1404.88	        	and got it all taken care of Wednesday.
1404.88 1405.68	KEVIN:  	.. [(TSK) It's all set].
1404.99 1405.85	WENDY:  	   [Oil cha]=nge,
1405.85 1407.05	        	.. new windshield wiper=s,
1407.05 1407.90	MARCI:  	... [Wow].
1407.52 1408.77	KEVIN:  	    [I love] new windshield wipers.
1408.77 1410.77	WENDY:  	(H) [2<X Dropped X> a couple hundred dollars on the car2].
1409.12 1410.77	KEVIN:  	    [2There's nothing like new windshield wipers2].
1410.77 1412.67	KENDRA: 	How much [3did3] [4your windshield4] [5wipers co=st5]?
1411.05 1411.93	WENDY:  	         [3A3] [4.. couple hundred4].
1411.22 1411.58	KEN:    	                 [4Yeah cause,
1411.58 1411.83	        	they __
1411.83 1412.62	        	.. You4] [5needed em5].
1412.67 1413.42	        	.. We need em too.
1413.42 1413.92	WENDY:  	.. I don't [know].
1413.72 1414.67	KEVIN:  	           [(H)]= [2(TSK) What2]?
1414.32 1414.67	KEN:    	                  [2Y_2] __
1414.67 1415.12	        	I say,
1415.12 1416.37	        	you need[ed new windshield wipers].
1415.43 1416.37	WENDY:  	        [(H) !Kevin just s_] __
1416.37 1417.01	KEVIN:  	.. [2I did.
1416.47 1417.63	WENDY:  	   [2!Kevin just sent us2] __
1417.01 1417.88	KEVIN:  	I didn't know I2] did,
1417.88 1418.38	        	.. but [3I d3]id.
1418.02 1418.18	WENDY:  	       [3s_3] __
1418.38 1419.98	        	... sent it in and said,
1419.98 1421.03	        	.. check these thi=ngs,
1421.03 1422.83	        	an=d replace whatever needs to be replaced.
1422.83 1424.21	        	... [(H) So],
1423.60 1426.00	MARCI:  	    [And so they] replaced everything you said check?
1426.00 1426.80	KEVIN:  	... No.
1426.80 1427.19	WENDY:  	No.
1427.19 1427.99	        	.. No [no no] no.
1427.29 1427.64	MARCI:  	      [Really]?
1427.99 1428.19	WENDY:  	... No.
1428.19 1428.44	MARCI:  	[Hm].
1428.19 1428.44	KEVIN:  	[No].
1428.44 1429.04	        	Not at all.
1429.04 1429.89	MARCI:  	.. That's pretty good.
1429.89 1430.19	KEVIN:  	They're __
1430.19 1430.58	        	They're good,
1430.58 1431.18	        	I [trust] [2em2].
1430.77 1431.27	KEN:    	  [Where'd you] [2take2] [3it3]?
1430.97 1432.17	KENDRA: 	          [2Why2] [3didn't3] [4you just go out and buy4],
1430.97 1431.87	WENDY:  	          [2<X We2] [3re3][4ally trust em X>,
1431.87 1432.17	        	if they4] __
1432.17 1432.42	KEVIN:  	[5Hm5]?
1432.17 1433.19	KENDRA: 	[5a five5] [6dollar pair of6] &
1432.47 1433.19	KEN:    	           [6Where'd you take it6]?
1432.47 1433.95	MARCI:  	           [6Who is this6] he goe[7s to7]?
1433.56 1434.41	KEVIN:  	                                 [7Allen County7] [8Motors8].
1433.95 1434.41	KENDRA: 	& [8wipers8],
1434.41 1435.08	        	[9and put em on9].
1434.41 1435.30	WENDY:  	[9Allen County Mo9]tors.
1435.30 1436.35	        	That's where [we bought the] [2car at2].
1435.52 1435.87	MARCI:  	             [Oh].
1435.87 1436.35	KEN:    	                             [2<X Oh X>2].
1435.87 1436.91	KEVIN:  	                             [2They didn't do2] the ti=res,
1436.91 1437.31	        	[3% % %3] __
1436.91 1437.31	WENDY:  	[3(TSK)3]
1437.30 1438.45	KEVIN:  	Allen County Motors told me,
1438.45 1440.90	        	... (TSK) they recommended McMann Tire.
1440.90 1441.55	        	.. Downtown?
1441.50 1442.75	        	.. (H) And uh,
1442.75 1444.15	        	.. I already knew what I needed,
1444.15 1446.35	        	.. so I didn't have to haggle about what kind of tires,
1446.35 1446.86	        	or where to k_ __
1446.86 1447.35	        	you know,
1447.35 1447.71	        	.. put em,
1447.71 1448.46	        	front or back,
1448.46 1450.21	        	... Allen County Motors already told me,
1450.21 1451.16	        	... (H) you know,
1451.16 1451.81	        	all that stuff.
1451.81 1454.91	MARCI:  	... [That's not too bad].
1453.51 1455.21	KENDRA: 	    [I made them get me my] tire,
1455.21 1456.51	        	cause I <@ couldn't drive anywhere @>.
1456.51 1461.96	WENDY:  	... We can't afford to mess around with our car.
1461.96 1462.96	KEVIN:  	... M_m.
1462.96 1463.56	WENDY:  	You just can't.
1463.56 1463.86	        	%We're __
1463.86 1464.19	        	We're like,
1464.19 1464.63	        	w_ __
1464.63 1465.06	KENDRA: 	.. Yeah,
1465.06 1467.16	        	but I put great .. wipers on for five bucks.
1467.16 1468.63	        	Now if yours cost .. fiftee=n,
1468.63 1469.56	        	that's ri[diculous].
1469.06 1470.16	WENDY:  	         [I don't know how much] they cost.
1470.16 1470.86	KEVIN:  	.. They did.
1470.86 1471.96	WENDY:  	... (TSK) They cost fif[teen]?
1471.76 1471.96	KEN:    	                       [They're a] __
1471.96 1472.56	KEVIN:  	.. Fifteen,
1472.56 1473.56	        	[plus like] three dollars,
1472.56 1472.96	KEN:    	[(H)]
1473.56 1474.51	KEVIN:  	.. three dollars labor.
1474.51 1478.26	        	... They're the [best wipers] money can buy.
1476.83 1477.48	MARCI:  	                [(THROAT) .. (THROAT)]
1478.26 1479.41	KENDRA: 	... <VOX You should see mine.
1479.41 1480.39	KEVIN:  	... (H) @[@@@][2@
1479.75 1480.14	KENDRA: 	         [Buddy VOX>].
1479.94 1481.14	KEN:    	         [@] [2@ @2]
1480.64 1481.44	KEVIN:  	(H) Are they the_2] __
1481.44 1482.69	        	(H) Are they the double [3whammy ones3]?
1482.16 1483.01	WENDY:  	                        [3(H) I'll te3]ll you what_,
1483.01 1483.41	        	%= though %,
1483.41 1484.06	        	.. for the effort,
1484.06 1484.91	        	.. this sounds really ba=d.
1484.91 1485.91	        	But for the effort,
1485.91 1488.11	        	(H) the ti=me that it takes to go out and get em,
1488.11 1489.01	        	... and install em,
1489.01 1490.31	        	(H) I'd rather pay the money,
1490.31 1490.93	        	... cause,
1490.94 1491.01	KEVIN:  	Oh,
1491.01 1491.62	        	I woul[d too].
1491.19 1492.09	WENDY:  	      [our ti][2me i=s2],
1491.69 1492.09	KENDRA: 	              [2(THROAT)2]
1492.09 1493.24	WENDY:  	.. We just do not have time to p_ &
1493.24 1496.24	KENDRA: 	.. Well that['s why I spend so mu=ch=] .. money on clothes.
1493.65 1495.11	WENDY:  	& [putski around with stupid stuff].
1496.24 1498.11	KEN:    	... (H) You can't make em (Hx)?
1497.91 1499.06	WENDY:  	.. Cause [why].
1498.73 1499.06	MARCI:  	         [(COUGH)]
1499.06 1499.56	KEN:    	... [2(H)2]
1499.31 1500.66	KENDRA: 	    [2<@ Cause I2] [3can't make em @> @3].
1499.56 1501.76	KEVIN:  	                   [3@=3] [4<@ You can't make clothes @>4].
1500.56 1501.76	MARCI:  	                          [4@= @4]
1501.76 1502.36	KENDRA: 	[5@@5]
1501.76 1503.11	KEVIN:  	[5@@@5][6@=6]
1502.36 1504.01	WENDY:  	       [6And you can't wear some6]thing [7twice.
1503.44 1505.59	MARCI:  	                                        [7You certainly7] [8can't8] [9make wind9]shield wipers.
1504.01 1504.39	WENDY:  	Right7][8=8]?
1504.18 1504.83	KEVIN:  	                                                          [8@8][9@9]
1505.59 1506.50	MARCI:  	[We know] [2that2].
1505.59 1506.04	WENDY:  	[@]
1506.04 1506.50	KEVIN:  	          [2@2]
1506.50 1506.78	MARCI:  	[3(Hx)3]
1506.50 1506.98	KEN:    	[3@3]
1506.70 1506.88	WENDY:  	[3(Hx)3]
1506.50 1507.36	KEVIN:  	[3<HI I made3] [4it HI>4].
1506.98 1507.36	KENDRA: 	               [4@4]
1507.36 1507.74	KEN:    	[5@@5]
1507.36 1508.46	KENDRA: 	[5<@ I m5]ade [6it @>6].
1507.91 1509.15	MARCI:  	              [6<VOX I ma6]=de i=t VOX>.
1509.15 1511.40	        	... @[7@@7]
1510.92 1513.12	KENDRA: 	     [7<SM<SING My mama7] loves me cause she [8spanks me= SM>8],
1512.22 1513.92	WENDY:  	                                             [8That's why I take8] [9all my al_9] __
1513.12 1514.07	KENDRA: 	                                                                   [9Woo9][_oo,
1513.38 1514.07	MARCI:  	                                                                   [9<SING Woo9][_oo,
1514.07 1515.29	        	(H) .. woo_oo SING>].
1514.07 1515.19	KENDRA: 	(H) .. woo_oo SING>].
1515.29 1516.64	KENDRA: 	.. (H) [2@@2]
1516.23 1518.16	WENDY:  	       [2All of our2] alterations go to !Edna,
1518.16 1518.41	MARCI:  	(H)
1518.41 1518.96	KEVIN:  	!Edna.
